year,disease_type,data_type,name,forecast,rate,lb,ub
2007,IBD,Incidence,Canada,0,27.50000000,27.00000000,28.10000038
2008,IBD,Incidence,Canada,0,28.60000038,28.10000038,29.20000076
2009,IBD,Incidence,Canada,0,28.60000038,28.10000038,29.20000076
2010,IBD,Incidence,Canada,0,28.29999924,27.79999924,28.89999962
2011,IBD,Incidence,Canada,0,29.29999924,28.70000076,29.79999924
2012,IBD,Incidence,Canada,0,28.10000038,27.60000038,28.70000076
2013,IBD,Incidence,Canada,0,29.00000000,28.39999962,29.50000000
2014,IBD,Incidence,Canada,0,29.00000000,28.50000000,29.60000038
2015,IBD,Incidence,Canada,1,29.10000038,28.10000038,30.00000000
2016,IBD,Incidence,Canada,1,29.20000076,28.70000076,29.70000076
2017,IBD,Incidence,Canada,1,29.29999924,28.29999924,30.29999924
2018,IBD,Incidence,Canada,1,29.39999962,28.50000000,30.29999924
2019,IBD,Incidence,Canada,1,29.50000000,28.29999924,30.70000076
2020,IBD,Incidence,Canada,1,29.60000038,28.39999962,30.79999924
2021,IBD,Incidence,Canada,1,29.70000076,28.39999962,31.10000038
2022,IBD,Incidence,Canada,1,29.79999924,28.39999962,31.29999924
2023,IBD,Incidence,Canada,1,29.89999962,28.29999924,31.50000000
2024,IBD,Incidence,Canada,1,30.10000038,28.29999924,31.79999924
2025,IBD,Incidence,Canada,1,30.20000076,28.29999924,32.00000000
2026,IBD,Incidence,Canada,1,30.29999924,28.29999924,32.20000076
2027,IBD,Incidence,Canada,1,30.39999962,28.29999924,32.50000000
2028,IBD,Incidence,Canada,1,30.50000000,28.29999924,32.70000076
2029,IBD,Incidence,Canada,1,30.60000038,28.20000076,32.90000153
2030,IBD,Incidence,Canada,1,30.70000076,28.20000076,33.20000076
2031,IBD,Incidence,Canada,1,30.79999924,28.20000076,33.40000153
2032,IBD,Incidence,Canada,1,30.89999962,28.20000076,33.59999847
2033,IBD,Incidence,Canada,1,31.00000000,28.20000076,33.90000153
2034,IBD,Incidence,Canada,1,31.10000038,28.20000076,34.09999847
2035,IBD,Incidence,Canada,1,31.20000076,28.10000038,34.29999924
2007,CD,Incidence,Canada,0,13.50000000,13.10000038,13.89999962
2008,CD,Incidence,Canada,0,13.80000019,13.39999962,14.19999981
2009,CD,Incidence,Canada,0,13.80000019,13.39999962,14.19999981
2010,CD,Incidence,Canada,0,13.30000019,12.89999962,13.69999981
2011,CD,Incidence,Canada,0,14.10000038,13.69999981,14.50000000
2012,CD,Incidence,Canada,0,13.00000000,12.60000038,13.39999962
2013,CD,Incidence,Canada,0,13.30000019,13.00000000,13.69999981
2014,CD,Incidence,Canada,0,13.50000000,13.10000038,13.89999962
2015,CD,Incidence,Canada,1,13.19999981,12.50000000,13.80000019
2016,CD,Incidence,Canada,1,13.30000019,12.80000019,13.69999981
2017,CD,Incidence,Canada,1,13.10000038,12.30000019,13.80000019
2018,CD,Incidence,Canada,1,13.10000038,12.39999962,13.80000019
2019,CD,Incidence,Canada,1,13.00000000,12.10000038,13.80000019
2020,CD,Incidence,Canada,1,12.89999962,12.00000000,13.80000019
2021,CD,Incidence,Canada,1,12.80000019,11.80000019,13.89999962
2022,CD,Incidence,Canada,1,12.80000019,11.69999981,13.89999962
2023,CD,Incidence,Canada,1,12.69999981,11.50000000,13.89999962
2024,CD,Incidence,Canada,1,12.69999981,11.30000019,14.00000000
2025,CD,Incidence,Canada,1,12.60000038,11.19999981,14.00000000
2026,CD,Incidence,Canada,1,12.50000000,11.00000000,14.00000000
2027,CD,Incidence,Canada,1,12.50000000,10.80000019,14.10000038
2028,CD,Incidence,Canada,1,12.39999962,10.69999981,14.10000038
2029,CD,Incidence,Canada,1,12.30000019,10.50000000,14.10000038
2030,CD,Incidence,Canada,1,12.30000019,10.39999962,14.19999981
2031,CD,Incidence,Canada,1,12.19999981,10.19999981,14.19999981
2032,CD,Incidence,Canada,1,12.10000038,10.00000000,14.19999981
2033,CD,Incidence,Canada,1,12.00000000,9.89999962,14.19999981
2034,CD,Incidence,Canada,1,12.00000000,9.69999981,14.30000019
2035,CD,Incidence,Canada,1,11.89999962,9.50000000,14.30000019
2007,UC,Incidence,Canada,0,14.00000000,13.60000038,14.39999962
2008,UC,Incidence,Canada,0,14.80000019,14.39999962,15.19999981
2009,UC,Incidence,Canada,0,14.89999962,14.39999962,15.30000019
2010,UC,Incidence,Canada,0,15.00000000,14.60000038,15.39999962
2011,UC,Incidence,Canada,0,15.19999981,14.80000019,15.60000038
2012,UC,Incidence,Canada,0,15.10000038,14.69999981,15.50000000
2013,UC,Incidence,Canada,0,15.60000038,15.19999981,16.00000000
2014,UC,Incidence,Canada,0,15.50000000,15.10000038,16.00000000
2015,UC,Incidence,Canada,1,15.89999962,15.39999962,16.50000000
2016,UC,Incidence,Canada,1,15.89999962,15.69999981,16.20000076
2017,UC,Incidence,Canada,1,16.20000076,15.69999981,16.79999924
2018,UC,Incidence,Canada,1,16.29999924,15.89999962,16.79999924
2019,UC,Incidence,Canada,1,16.60000038,15.89999962,17.20000076
2020,UC,Incidence,Canada,1,16.70000076,16.10000038,17.29999924
