INDEX,HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,TESTING_RATE,INCIDENCE_RATE,POSITIVE_PROP,POSITIVE_PERC,ZONE_NAME,ZONE_CODE,Notes
1,HSA1.1,SOUTH ZONE - WEST,South Zone - West,24.91230657,37.39479422,0.037513398,3.751339764,SOUTH,Z1,
2,HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,25.10245902,47.2887768,0.041838226,4.183822553,SOUTH,Z1,
3,HSA1.3,SOUTH ZONE - EAST,South Zone - East,24.79272847,21.13817319,0.035748607,3.574860657,SOUTH,Z1,
4,HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,28.19091005,29.27709009,0.04039554,4.039553966,SOUTH,Z1,
5,HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,26.72020875,53.09024777,0.048012166,4.801216598,SOUTH,Z1,
6,HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,23.67554163,33.01516497,0.035566847,3.556684662,SOUTH,Z1,
7,HSA1.5.C,LETHBRIDGE - SOUTH,Lethbridge - South,24.72082718,29.54209749,0.03147283,3.14728301,SOUTH,Z1,
8,HSA2.1.A,CALGARY - UPPER NW,Calgary - Upper NW,33.42390205,38.42990251,0.036503909,3.650390928,CALGARY,Z2,
9,HSA2.1.B,CALGARY - NORTH,Calgary - North,30.52866054,39.31950568,0.037566549,3.756654902,CALGARY,Z2,
10,HSA2.1.C,CALGARY - NOSEHILL,Calgary - Nose Hill,32.58331322,32.52487009,0.031583199,3.158319871,CALGARY,Z2,
11,HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,38.22240569,38.4224565,0.03302971,3.302970971,CALGARY,Z2,
12,HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West Bow,35.20558909,40.91923866,0.037255427,3.72554275,CALGARY,Z2,
13,HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,36.62256656,61.46444737,0.049703892,4.970389171,CALGARY,Z2,
14,HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,28.8835382,32.0090033,0.038525359,3.852535892,CALGARY,Z2,
15,HSA2.3.A,CALGARY - EAST,Calgary - East,26.10649519,27.58942688,0.032963583,3.296358309,CALGARY,Z2,
16,HSA2.3.B,CALGARY - SE,Calgary - SE,33.21287543,52.65047266,0.037329075,3.732907476,CALGARY,Z2,
17,HSA2.4.A,CALGARY - WEST,Calgary - West,39.28076914,44.99540264,0.032958291,3.295829071,CALGARY,Z2,
18,HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,35.58058257,28.29531604,0.026426098,2.642609805,CALGARY,Z2,
19,HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,37.71785417,44.9528299,0.034778226,3.477822581,CALGARY,Z2,
20,HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,37.92398816,44.33863148,0.035822868,3.582286847,CALGARY,Z2,
21,HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,35.30849604,40.44820799,0.035183777,3.518377693,CALGARY,Z2,
22,HSA2.4.F,CALGARY - SW,Calgary - SW,34.16884788,39.39488044,0.033645656,3.364565588,CALGARY,Z2,
23,HSA2.5.A,CALGARY RURAL - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,34.35517733,43.60706884,0.037600109,3.760010859,CALGARY,Z2,
24,HSA2.5.BC,CALGARY RURAL - CENTRAL/SOUTH,Calgary Rural - Central/South,27.22658457,32.40738713,0.0354447,3.54446997,CALGARY,Z2,
25,HSA2.6.AB,CALGARY RURAL - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,32.05911129,42.30292801,0.04081776,4.081776029,CALGARY,Z2,
26,HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,36.91527047,51.62499873,0.033831034,3.383103383,CALGARY,Z2,
27,HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,38.24112237,58.63496099,0.041462275,4.146227517,CALGARY,Z2,
28,HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,27.17715834,38.13633741,0.034683165,3.46831646,CALGARY,Z2,
29,HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,23.07692308,25.37040796,0.027008929,2.700892857,CENTRAL,Z3,
30,HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,24.04168384,29.78835375,0.027385628,2.738562785,CENTRAL,Z3,
31,HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,23.77878391,32.71904071,0.035996985,3.599698455,CENTRAL,Z3,
