HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT,lower95,upper95
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2016,23.7,8.2,39.2
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,All,33.7,25.4,42
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2018,18.4,4.8,32.1
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2019,44.8,23.5,66.1
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2020,39.5,19.5,59.5
HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2017,42.1,21.5,62.7
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,All,44.3,36.9,51.8
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2020,30.8,16.9,44.6
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2016,40,24,56
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2018,50.9,33,68.8
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2017,56.2,37.3,75.1
HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2019,44,27.4,60.6
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2018,28.2,12.2,44.2
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,All,20.7,14.6,26.8
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2017,9.4,0.2,18.7
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2016,7.1,0,15.1
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2020,32.6,15.5,49.7
HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2019,25.7,10.5,40.9
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2020,49.3,32.7,65.9
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2018,39.5,24.6,54.4
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2017,7.4,0.9,13.8
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2019,35,21,48.9
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,All,26.6,21.2,32.1
HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2016,1.5,0,4.4
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2019,63.6,37.6,89.6
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2018,50.7,27.3,74.1
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2017,60.3,34.5,86.1
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,All,50.3,39.8,60.7
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2016,41.4,19.7,63.1
HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2020,35.4,16.1,54.6
HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2020,36.2,13.8,58.7
HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2018,29.3,9,49.6
HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2019,36.5,13.9,59
HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2017,29.5,9,49.9
HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2016,26.1,6.8,45.4
HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,All,31.5,22.1,41
HSA1.5.C,LETHBRIDGE - SOUTH,Lethbridge - South,Z1,SOUTH,2016,30,11.4,48.6
