INDEX,HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT,MET
1,HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2016,0,no
2,HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2017,42.1,no
3,HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2018,0,no
4,HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2019,44.8,no
5,HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,2020,39.5,no
6,HSA1.1,SOUTH ZONE - WEST,South Zone - West,Z1,SOUTH,All,33.7,no
7,HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2016,40,no
8,HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2017,56.2,no
9,HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2018,50.9,no
10,HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2019,44,no
11,HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,2020,30.8,no
12,HSA1.2,SOUTH ZONE - CENTRAL,South Zone - Central,Z1,SOUTH,All,44.3,no
13,HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2016,0,no
14,HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2017,0,no
15,HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2018,28.2,no
16,HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2019,25.7,no
17,HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,2020,32.6,no
18,HSA1.3,SOUTH ZONE - EAST,South Zone - East,Z1,SOUTH,All,20.7,no
19,HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2016,0,no
20,HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2017,0,no
21,HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2018,39.5,no
22,HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2019,35,no
23,HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,2020,49.3,no
24,HSA1.4,SOUTH ZONE - MEDICINE HAT,South Zone - Medicine Hat,Z1,SOUTH,All,26.6,no
25,HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2016,41.4,no
26,HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2017,60.3,no
27,HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2018,50.7,no
28,HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2019,63.6,no
29,HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,2020,35.4,no
30,HSA1.5.A,LETHBRIDGE - WEST,Lethbridge - West,Z1,SOUTH,All,50.3,no
31,HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2016,0,no
32,HSA1.5.B,LETHBRIDGE - NORTH,Lethbridge - North,Z1,SOUTH,2017,0,no
