index,country,name,hosp_type,disease_type,year_rate,rate,AAPC,direction,popup,appendixF_popup
1,Argentina,Cordoba,not,IBD,2017,7.11,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates; however, in 2017, the undefined hospitalization rate for IBD was 7.11/100,000 (<a href='https://www.sciencedirect.com/science/article/pii/S1590865821000128?via%3Dihub' target='_blank'>Balderramo 2021</a>).</p>",
1,Argentina,Cordoba,not,CD,2017,1.86,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates; however, in 2017, the undefined hospitalization rate for CD was 1.86/100,000 (<a href='https://www.sciencedirect.com/science/article/pii/S1590865821000128?via%3Dihub' target='_blank'>Balderramo 2021</a>).</p>",
1,Argentina,Cordoba,not,UC,2017,5.25,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates; however, in 2017, the undefined hospitalization rate for UC was 5.25/100,000 (<a href='https://www.sciencedirect.com/science/article/pii/S1590865821000128?via%3Dihub' target='_blank'>Balderramo 2021</a>).</p>",
2,Australia,Australia,prim,IBD,2014,32.5,1.33,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from the OECD (<a href='https://www.sciencedirect.com/science/article/abs/pii/S2468125319300135?via%3Dihub' target='_blank'>King 2019</a>), which provides rates for primary discharges spanning 2000–2014. In 2014, the hospitalization rate for IBD was 32.5/100,000, which had significantly increased from 26.8/100,000 in 2000 (AAPC: 1.33; 95% CI: 1.08, 1.57).</p>",
3,Austria,Austria,not,IBD,2015,72.5,0.93,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from the OECD (<a href='https://www.sciencedirect.com/science/article/abs/pii/S2468125319300135?via%3Dihub' target='_blank'>King 2019</a>), which provides rates for unspecified discharge types spanning 2000–2015. In 2015, the hospitalization rate for IBD was 72.5/100,000, which had significantly increased from 66.1/100,000 in 2000 (AAPC: 0.93; 95% CI: 0.60, 1.26).</p>",
4,Bahrain,Bahrain,all,IBD,2014,39.18,8.28,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from <a href='https://www.dovepress.com/inflammatory-bowel-disease-in-bahrain-single-center-experience-peer-reviewed-fulltext-article-CEG' target='_blank'>Abdulla 2017</a>, which provides rates for secondary discharge types spanning 2000–2014 [data available from 1984–2014]. In 2014, the hospitalization rate for IBD was 39.18/100,000, which had significantly increased from 7.61/100,000 in 2000 (AAPC: 8.28; 95% CI: 5.59, 11.03).</p>",
4,Bahrain,Bahrain,all,CD,2014,21.45,12.98,increase,"<p style=""""font-size: 125%"""">Data on CD hospitalizations come from <a href='https://www.dovepress.com/inflammatory-bowel-disease-in-bahrain-single-center-experience-peer-reviewed-fulltext-article-CEG' target='_blank'>Abdulla 2017</a>, which provides rates for secondary discharge types spanning 2000–2014 [data available from 1984–2014]. In 2014, the hospitalization rate for CD was 21.45/100,000, which had significantly increased from 2.11/100,000 in 2000 (AAPC: 12.98; 95% CI: 7.83, 18.38).</p>",
4,Bahrain,Bahrain,all,UC,2014,16.57,7.27,increase,"<p style=""""font-size: 125%"""">Data on UC hospitalizations come from <a href='https://www.dovepress.com/inflammatory-bowel-disease-in-bahrain-single-center-experience-peer-reviewed-fulltext-article-CEG' target='_blank'>Abdulla 2017</a>, which provides rates for secondary discharge types spanning 2000–2014 [data available from 1984–2014]. In 2014, the hospitalization rate for UC was 16.57/100,000, which had significantly increased from 2.71/100,000 in 2000 (AAPC: 7.27; 95% CI: 2.12, 12.69).</p>",
5,Belgium,Belgium,not,IBD,2014,34.1,-0.44,decrease,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from the OECD (<a href='https://www.sciencedirect.com/science/article/abs/pii/S2468125319300135?via%3Dihub' target='_blank'>King 2019</a>), which provides rates for unspecified discharge types spanning 2000–2014.  While the hospitalization rate for IBD was 33.5/100,000 in 2000 and 34.1/100,000 in 2014, overall it decreased significantly (AAPC: −0.44; 95% CI: −0.75, −0.13).</p>",
6,Brazil,Brazil,not,IBD,2017,1.98,-3.99,decrease,"<p style=""""font-size: 125%""""Data on IBD hospitalizations come from <a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8788161/' target='_blank'>Guedes 2022</a>, which provides undefined  hospitalization rates spanning 2000–2017. In 2017, the hospitalization rate for IBD was 1.98/100,000 which had significantly decreased from 3.65/100,000 in 2000 (AAPC: -3.99; 95% CI: -4.76, -3.22).</p>",
