Author,StudyYear,Continent,Country,Region,geo_type,zoom,admin,name,name_format,AgeRange,age_cat,Subgroup,Year,year_mid,IBD_IncidencePer100000,CD_IncidencePer100000,UC_IncidencePer100000,IBDU_IncidencePer100000,IBD_PrevalencePer100000,CD_PrevalencePer100000,UC_PrevalencePer100000,IBDU_PrevalencePer100000,Standardization,Reference,URL
Isa,2018,Asia,Bahrain,Bahrain,country,,Bahrain,Bahrain,Bahrain,<19,Pediatric-Onset,Overall,1987-1997,1992,,0.006,,,,,,,,Isa et al. Pediatric Crohn's disease in Bahrain. Oman Med J. 2018;33:299.,https://pubmed.ncbi.nlm.nih.gov/30038729
Isa,2018,Asia,Bahrain,Bahrain,country,,Bahrain,Bahrain,Bahrain,<19,Pediatric-Onset,Overall,1987-2017,2002,,1,,,,9.32,,,,Isa et al. Pediatric Crohn's disease in Bahrain. Oman Med J. 2018;33:299.,https://pubmed.ncbi.nlm.nih.gov/30038729
Isa,2018,Asia,Bahrain,Bahrain,country,,Bahrain,Bahrain,Bahrain,<19,Pediatric-Onset,Overall,1998-2007,2003,,1.165,,,,,,,,Isa et al. Pediatric Crohn's disease in Bahrain. Oman Med J. 2018;33:299.,https://pubmed.ncbi.nlm.nih.gov/30038729
Isa,2018,Asia,Bahrain,Bahrain,country,,Bahrain,Bahrain,Bahrain,<19,Pediatric-Onset,Overall,2008-2017,2013,,1.18,,,,,,,,Isa et al. Pediatric Crohn's disease in Bahrain. Oman Med J. 2018;33:299.,https://pubmed.ncbi.nlm.nih.gov/30038729
Zayyani,2017,Asia,Bahrain,Bahrain,country,,Bahrain,Bahrain,Bahrain,<19,Pediatric-Onset,Overall,1990-1999,1995,,1.8,,,,,,,,Zayyani et al. Increasing Incidence of Crohn's Disease with Familial Clustering in the Kingdom of Bahrain: A 25-Year Population-based Study. Inflamm Bowel Dis. 2017;23:304.,http://dx.doi.org/10.1097/mib.0000000000001016
Zayyani,2017,Asia,Bahrain,Bahrain,country,,Bahrain,Bahrain,Bahrain,<19,Pediatric-Onset,Overall,1990-2015,2003,,3.7,,,,,,,,Zayyani et al. Increasing Incidence of Crohn's Disease with Familial Clustering in the Kingdom of Bahrain: A 25-Year Population-based Study. Inflamm Bowel Dis. 2017;23:304.,http://dx.doi.org/10.1097/mib.0000000000001016
Zayyani,2017,Asia,Bahrain,Bahrain,country,,Bahrain,Bahrain,Bahrain,<19,Pediatric-Onset,Overall,2000-2009,2005,,5,,,,,,,,Zayyani et al. Increasing Incidence of Crohn's Disease with Familial Clustering in the Kingdom of Bahrain: A 25-Year Population-based Study. Inflamm Bowel Dis. 2017;23:304.,http://dx.doi.org/10.1097/mib.0000000000001016
Zayyani,2017,Asia,Bahrain,Bahrain,country,,Bahrain,Bahrain,Bahrain,<19,Pediatric-Onset,Overall,2010-2015,2013,,7.6,,,,,,,,Zayyani et al. Increasing Incidence of Crohn's Disease with Familial Clustering in the Kingdom of Bahrain: A 25-Year Population-based Study. Inflamm Bowel Dis. 2017;23:304.,http://dx.doi.org/10.1097/mib.0000000000001016
Wang,2013,Asia,China,Shanghai (city),region,8,China,Shanghai,Shanghai,<15,Pediatric-Onset,Overall,2000,2000,0,,,,,,,,age-standardized,Wang et al. Inflammatory Bowel Disease in Chinese Children:  A Multicenter Analysis Over a Decade from Shanghai. Inlamm Bowel Dis. 2013;19:423.,http://dx.doi.org/10.1097/mib.0b013e318286f9f2
Wang,2013,Asia,China,Shanghai (city),region,8,China,Shanghai,Shanghai,<15,Pediatric-Onset,Overall,2001,2001,0.05,,,,,,,,age-standardized,Wang et al. Inflammatory Bowel Disease in Chinese Children:  A Multicenter Analysis Over a Decade from Shanghai. Inlamm Bowel Dis. 2013;19:423.,http://dx.doi.org/10.1097/mib.0b013e318286f9f2
