year,disease_type,data_type,name,forecast,rate,lb,ub
2000,IBD,Incidence,Newfoundland and Labrador,0,40.90000153,35.40000153,46.40000153
2001,IBD,Incidence,Newfoundland and Labrador,0,37.59999847,32.29999924,42.79999924
2002,IBD,Incidence,Newfoundland and Labrador,0,29.20000076,24.60000038,33.90000153
2003,IBD,Incidence,Newfoundland and Labrador,0,34.5,29.5,39.59999847
2004,IBD,Incidence,Newfoundland and Labrador,0,41.09999847,35.59999847,46.70000076
2005,IBD,Incidence,Newfoundland and Labrador,0,39.79999924,34.29999924,45.29999924
2006,IBD,Incidence,Newfoundland and Labrador,0,42.29999924,36.70000076,47.90000153
2007,IBD,Incidence,Newfoundland and Labrador,0,41.59999847,36,47.20000076
2008,IBD,Incidence,Newfoundland and Labrador,0,42.40000153,36.79999924,48.09999847
2009,IBD,Incidence,Newfoundland and Labrador,0,42.70000076,37.09999847,48.40000153
2010,IBD,Incidence,Newfoundland and Labrador,0,41.90000153,36.40000153,47.5
2011,IBD,Incidence,Newfoundland and Labrador,0,44.70000076,39,50.40000153
2012,IBD,Incidence,Newfoundland and Labrador,0,44.20000076,38.5,49.90000153
2013,IBD,Incidence,Newfoundland and Labrador,0,47.59999847,41.70000076,53.40000153
2014,IBD,Incidence,Newfoundland and Labrador,0,44.70000076,39,50.40000153
2015,IBD,Incidence,Newfoundland and Labrador,1,46.59999847,40.70000076,52.5
2016,IBD,Incidence,Newfoundland and Labrador,1,47.5,40.29999924,54.79999924
2017,IBD,Incidence,Newfoundland and Labrador,1,48.29999924,40.40000153,56.20000076
2018,IBD,Incidence,Newfoundland and Labrador,1,49,40.5,57.40000153
2019,IBD,Incidence,Newfoundland and Labrador,1,49.70000076,40.70000076,58.70000076
2020,IBD,Incidence,Newfoundland and Labrador,1,50.40000153,40.90000153,60
2021,IBD,Incidence,Newfoundland and Labrador,1,51.09999847,41.09999847,61.20000076
2022,IBD,Incidence,Newfoundland and Labrador,1,51.90000153,41.20000076,62.5
2023,IBD,Incidence,Newfoundland and Labrador,1,52.59999847,41.40000153,63.70000076
2024,IBD,Incidence,Newfoundland and Labrador,1,53.29999924,41.59999847,65
2025,IBD,Incidence,Newfoundland and Labrador,1,54,41.79999924,66.30000305
2026,IBD,Incidence,Newfoundland and Labrador,1,54.70000076,41.90000153,67.5
2027,IBD,Incidence,Newfoundland and Labrador,1,55.5,42.09999847,68.80000305
2028,IBD,Incidence,Newfoundland and Labrador,1,56.20000076,42.29999924,70.09999847
2029,IBD,Incidence,Newfoundland and Labrador,1,56.90000153,42.5,71.30000305
2030,IBD,Incidence,Newfoundland and Labrador,1,57.59999847,42.59999847,72.59999847
2031,IBD,Incidence,Newfoundland and Labrador,1,58.29999924,42.79999924,73.90000153
2032,IBD,Incidence,Newfoundland and Labrador,1,59.09999847,43,75.09999847
2033,IBD,Incidence,Newfoundland and Labrador,1,59.79999924,43.09999847,76.40000153
2034,IBD,Incidence,Newfoundland and Labrador,1,60.5,43.29999924,77.69999695
2035,IBD,Incidence,Newfoundland and Labrador,1,61.20000076,43.5,79
2007,IBD,Incidence,Alberta,0,38.40000153,36.29999924,40.40000153
2008,IBD,Incidence,Alberta,0,38,36,40
2009,IBD,Incidence,Alberta,0,36,34.09999847,38
2010,IBD,Incidence,Alberta,0,35.29999924,33.40000153,37.20000076
2011,IBD,Incidence,Alberta,0,35.90000153,34,37.79999924
2012,IBD,Incidence,Alberta,0,33.29999924,31.5,35.09999847
2013,IBD,Incidence,Alberta,0,34.79999924,32.90000153,36.59999847
2014,IBD,Incidence,Alberta,0,38.20000076,36.29999924,40.09999847
2015,IBD,Incidence,Alberta,0,35.70000076,33.90000153,37.5
2016,IBD,Incidence,Alberta,0,36.90000153,35.09999847,38.79999924
2017,IBD,Incidence,Alberta,0,33.70000076,31.89999962,35.40000153
2018,IBD,Incidence,Alberta,0,34.20000076,32.40000153,35.90000153
2019,IBD,Incidence,Alberta,1,34.29999924,31.79999924,36.79999924
2020,IBD,Incidence,Alberta,1,34,31.20000076,36.90000153
2021,IBD,Incidence,Alberta,1,33.79999924,30.5,37.09999847
2022,IBD,Incidence,Alberta,1,33.59999847,29.89999962,37.20000076
2023,IBD,Incidence,Alberta,1,33.29999924,29.29999924,37.29999924
2024,IBD,Incidence,Alberta,1,33.09999847,28.70000076,37.40000153
2025,IBD,Incidence,Alberta,1,32.79999924,28.10000038,37.59999847
2026,IBD,Incidence,Alberta,1,32.59999847,27.5,37.70000076
2027,IBD,Incidence,Alberta,1,32.29999924,26.79999924,37.90000153
2028,IBD,Incidence,Alberta,1,32.09999847,26.20000076,38
2029,IBD,Incidence,Alberta,1,31.89999962,25.60000038,38.09999847
2030,IBD,Incidence,Alberta,1,31.60000038,25,38.29999924
2031,IBD,Incidence,Alberta,1,31.39999962,24.39999962,38.40000153
2032,IBD,Incidence,Alberta,1,31.10000038,23.70000076,38.5
2033,IBD,Incidence,Alberta,1,30.89999962,23.10000038,38.70000076
2034,IBD,Incidence,Alberta,1,30.70000076,22.5,38.79999924
2035,IBD,Incidence,Alberta,1,30.39999962,21.89999962,38.90000153
1999,IBD,Incidence,British Columbia,0,29.60000038,27.89999962,31.29999924
2000,IBD,Incidence,British Columbia,0,28.89999962,27.20000076,30.60000038
2001,IBD,Incidence,British Columbia,0,31,29.29999924,32.70000076
2002,IBD,Incidence,British Columbia,0,27.79999924,26.20000076,29.39999962
