Month,TestRate,TestLower,TestUpper,TestForecast,TestLo80,TestHi80,TestLo95,TestHi95,IncRate,IncLower,IncUpper,IncForecast,IncLo80,IncHi80,IncLo95,IncHi95
01-Apr-12,21.1,20.6,21.6,,,,,,,,,,,,,
01-May-12,24.7,24.1,25.2,,,,,,,,,,,,,
01-Jun-12,24.2,23.6,24.7,,,,,,,,,,,,,
01-Jul-12,22.7,22.2,23.2,,,,,,,,,,,,,
01-Aug-12,24,23.5,24.6,,,,,,,,,,,,,
01-Sep-12,22.6,22.1,23.2,,,,,,,,,,,,,
01-Oct-12,27.8,27.2,28.4,,,,,,,,,,,,,
01-Nov-12,25.4,24.9,26,,,,,,,,,,,,,
01-Dec-12,21.9,21.4,22.4,,,,,,,,,,,,,
01-Jan-13,25.7,25.2,26.3,,,,,,,,,,,,,
01-Feb-13,24.3,23.7,24.8,,,,,,,,,,,,,
01-Mar-13,27.3,26.7,27.8,,,,,,,,,,,,,
01-Apr-13,28.3,27.7,28.8,,,,,,,,,,,,,
01-May-13,27.1,26.6,27.7,,,,,,,,,,,,,
01-Jun-13,26.1,25.6,26.6,,,,,,,,,,,,,
01-Jul-13,27,26.5,27.6,,,,,,,,,,,,,
01-Aug-13,25,24.5,25.5,,,,,,,,,,,,,
01-Sep-13,26.5,25.9,27,,,,,,,,,,,,,
01-Oct-13,28.1,27.6,28.7,,,,,,,,,,,,,
01-Nov-13,24.3,23.8,24.9,,,,,,,,,,,,,
01-Dec-13,23.8,23.2,24.3,,,,,,,,,,,,,
01-Jan-14,27.6,27.1,28.2,,,,,,,,,,,,,
01-Feb-14,27.9,27.4,28.5,,,,,,,,,,,,,
01-Mar-14,30.6,30,31.2,,,,,,,,,,,,,
01-Apr-14,29.4,28.8,29.9,,,,,,,,,,,,,
01-May-14,30,29.4,30.5,,,,,,,,,,,,,
01-Jun-14,31.1,30.5,31.7,,,,,,,,,,,,,
01-Jul-14,27.8,27.2,28.4,,,,,,,,,,,,,
01-Aug-14,25.8,25.3,26.4,,,,,,,,,,,,,
01-Sep-14,29.3,28.7,29.8,,,,,,,,,,,,,
01-Oct-14,30.6,30,31.2,,,,,,,,,,,,,
01-Nov-14,26.3,25.8,26.9,,,,,,,,,,,,,
01-Dec-14,26.8,26.3,27.4,,,,,,,,,,,,,
01-Jan-15,27.7,27.2,28.3,,,,,,,,,,,,,
01-Feb-15,27.4,26.8,27.9,,,,,,,,,,,,,
01-Mar-15,32.3,31.7,32.9,,,,,,,,,,,,,
01-Apr-15,27.5,26.9,28,,,,,,29.6,23.8,35.3,,,,,
01-May-15,22.9,22.4,23.4,,,,,,28.4,22.8,34,,,,,
01-Jun-15,35.5,34.9,36.1,,,,,,42.5,35.6,49.3,,,,,
01-Jul-15,27.6,27.1,28.2,,,,,,28.7,23.1,34.3,,,,,
01-Aug-15,25.4,24.9,25.9,,,,,,24.7,19.5,29.9,,,,,
01-Sep-15,27,26.5,27.6,,,,,,27,21.5,32.4,,,,,
01-Oct-15,28.9,28.4,29.5,,,,,,35.3,29.1,41.5,,,,,
01-Nov-15,28.1,27.5,28.6,,,,,,29,23.3,34.6,,,,,
01-Dec-15,26.6,26,27.1,,,,,,29.3,23.6,34.9,,,,,
01-Jan-16,26.3,25.8,26.9,,,,,,36.2,29.8,42.5,,,,,
01-Feb-16,29.8,29.2,30.3,,,,,,34.7,28.5,40.9,,,,,
01-Mar-16,32.2,31.6,32.8,,,,,,36.2,29.8,42.5,,,,,
01-Apr-16,31.1,30.6,31.7,,,,,,38,31.6,44.5,,,,,
01-May-16,28.6,28.1,29.2,,,,,,36.9,30.5,43.2,,,,,
01-Jun-16,29,28.5,29.6,,,,,,32.9,26.9,38.9,,,,,
01-Jul-16,24.3,23.8,24.8,,,,,,31.5,25.6,37.4,,,,,
01-Aug-16,27.9,27.4,28.5,,,,,,35.5,29.3,41.7,,,,,
01-Sep-16,26.3,25.8,26.9,,,,,,28.9,23.3,34.6,,,,,
01-Oct-16,25.2,24.7,25.8,,,,,,33.5,27.4,39.5,,,,,
01-Nov-16,26.9,26.4,27.5,,,,,,32.9,26.9,38.9,,,,,
01-Dec-16,22.9,22.4,23.4,,,,,,28.1,22.6,33.6,,,,,
01-Jan-17,26.8,26.2,27.3,,,,,,32.3,26.4,38.3,,,,,
01-Feb-17,25.8,25.3,26.4,,,,,,29.5,23.8,35.2,,,,,
01-Mar-17,31.8,31.2,32.4,,,,,,40,33.4,46.6,,,,,
01-Apr-17,27.2,26.6,27.7,,,,,,31.1,25.3,36.9,,,,,
01-May-17,30.3,29.7,30.8,,,,,,35.9,29.6,42.1,,,,,
01-Jun-17,29.1,28.6,29.7,,,,,,36.1,29.9,42.4,,,,,
01-Jul-17,24.3,23.8,24.8,,,,,,28.6,23,34.1,,,,,
01-Aug-17,25.7,25.1,26.2,,,,,,25.5,20.3,30.7,,,,,
01-Sep-17,26.8,26.3,27.3,,,,,,31.4,25.6,37.2,,,,,
01-Oct-17,27.4,26.8,27.9,,,,,,37.8,31.4,44.2,,,,,
01-Nov-17,27.6,27.1,28.2,,,,,,38.7,32.2,45.1,,,,,
01-Dec-17,23.3,22.8,23.8,,,,,,31.9,26.1,37.8,,,,,
01-Jan-18,27.4,26.8,27.9,,,,,,35,28.9,41.2,,,,,
01-Feb-18,25.8,25.3,26.3,,,,,,32.5,26.6,38.4,,,,,
01-Mar-18,30.2,29.6,30.7,,,,,,41.5,34.8,48.1,,,,,
01-Apr-18,29.1,28.5,29.6,,,,,,32,26.2,37.9,,,,,
01-May-18,30.6,30.1,31.2,,,,,,42.5,35.8,49.2,,,,,
01-Jun-18,28.3,27.8,28.9,,,,,,37,30.7,43.3,,,,,
01-Jul-18,26.6,26,27.1,,,,,,34,28,40,,,,,
01-Aug-18,29.1,28.6,29.7,,,,,,41.4,34.8,48.1,,,,,
01-Sep-18,25.4,24.9,26,,,,,,34.8,28.7,40.9,,,,,
01-Oct-18,29.4,28.9,30,,,,,,34.2,28.2,40.3,,,,,
01-Nov-18,29.9,29.3,30.5,,,,,,35.9,29.7,42.1,,,,,
01-Dec-18,25.2,24.7,25.7,,,,,,37.6,31.2,43.9,,,,,
01-Jan-19,29.4,28.8,29.9,,,,,,41.1,34.5,47.8,,,,,
01-Feb-19,27.7,27.1,28.2,,,,,,34.8,28.7,40.9,,,,,
01-Mar-19,31.3,30.8,31.9,,,,,,36.7,30.5,43,,,,,
01-Apr-19,31.2,30.6,31.8,,,,,,43.9,37.1,50.6,,,,,
01-May-19,32.5,31.9,33.1,,,,,,38.4,32.1,44.8,,,,,
01-Jun-19,28.5,28,29.1,,,,,,40.1,33.6,46.5,,,,,
01-Jul-19,30.4,29.9,31,,,,,,44.4,37.6,51.2,,,,,
01-Aug-19,28.8,28.2,29.3,,,,,,41.7,35.1,48.3,,,,,
01-Sep-19,29.2,28.6,29.7,,,,,,39,32.6,45.3,,,,,
01-Oct-19,30.7,30.2,31.3,,,,,,39.2,32.8,45.6,,,,,
01-Nov-19,28.9,28.3,29.4,,,,,,40.3,33.8,46.8,,,,,
01-Dec-19,29.6,29,30.1,,,,,,36.8,30.6,43,,,,,
01-Jan-20,35.1,34.5,35.7,,,,,,43,36.3,49.8,,,,,
01-Feb-20,31.5,31,32.1,,,,,,39.5,33.1,45.9,39.9,34.4,45.4,31.5,48.3
01-Mar-20,27.6,27.1,28.2,30.8,27.8,33.8,26.2,35.4,36,29.8,42.1,39.9,34.3,45.5,31.4,48.4
01-Apr-20,7.2,6.9,7.4,29.8,26.6,33,24.9,34.7,11.9,8.4,15.4,39.9,34.2,45.6,31.2,48.6
01-May-20,11.8,11.4,12.1,30.1,26.9,33.3,25.2,35,14.6,10.7,18.5,39.9,34.2,45.7,31.1,48.7
01-Jun-20,20.2,19.7,20.7,28.1,24.9,31.3,23.2,33,26.2,21,31.5,39.9,34.1,45.7,31,48.8
01-Jul-20,22.8,22.3,23.3,29,25.7,32.2,24,33.9,29.8,24.2,35.3,39.9,34,45.8,30.9,49
01-Aug-20,22,21.5,22.5,28.2,24.9,31.4,23.2,33.1,31.1,25.4,36.8,39.9,33.9,45.9,30.7,49.1
01-Sep-20,23.1,22.6,23.6,28.3,25.1,31.6,23.4,33.3,26.5,21.3,31.8,39.9,33.8,46,30.6,49.2
01-Oct-20,24.7,24.1,25.2,29.1,25.9,32.3,24.1,34,29.2,23.7,34.7,39.9,33.7,46.1,30.5,49.3
01-Nov-20,23.5,23,24,28.2,25,31.4,23.3,33.1,31.4,25.7,37.1,39.9,33.7,46.1,30.4,49.4
01-Dec-20,21.2,20.7,21.6,28.5,25.3,31.8,23.6,33.5,20.6,15.9,25.2,39.9,33.6,46.2,30.3,49.6
01-Jan-21,22.9,22.5,23.4,31.1,27.9,34.4,26.2,36.1,31.7,25.9,37.4,39.9,33.5,46.3,30.1,49.7
01-Feb-21,24.6,24.1,25.1,29.5,26.2,32.7,24.5,34.4,34.1,28.1,40,39.9,33.4,46.4,30,49.8
01-Mar-21,30.5,30,31.1,29.1,25.6,32.6,23.7,34.5,38.1,31.8,44.4,39.9,33.4,46.4,29.9,49.9
01-Apr-21,26.2,25.7,26.8,28.6,25.1,32.2,23.2,34.1,36.3,30.2,42.4,39.9,33.3,46.5,29.8,50
01-May-21,25.6,25.1,26.1,28.8,25.2,32.4,23.3,34.2,40,33.6,46.4,39.9,33.2,46.6,29.7,50.1
01-Jun-21,26.3,25.8,26.8,27.8,24.3,31.4,22.4,33.3,34.2,28.2,40.1,39.9,33.2,46.7,29.6,50.2
01-Jul-21,25.2,24.6,25.7,28.2,24.7,31.8,22.8,33.7,33.9,28,39.8,39.9,33.1,46.7,29.5,50.3
01-Aug-21,25,24.5,25.5,27.9,24.3,31.4,22.4,33.3,35.8,29.7,41.8,39.9,33,46.8,29.4,50.5
01-Sep-21,24.4,23.9,24.9,27.9,24.4,31.5,22.5,33.4,32.6,26.8,38.3,39.9,32.9,46.9,29.3,50.6
01-Oct-21,24.9,24.4,25.4,28.3,24.7,31.9,22.8,33.8,39.5,33.1,45.9,39.9,32.9,46.9,29.1,50.7
01-Nov-21,25.6,25.1,26.1,27.9,24.3,31.5,22.4,33.3,31,25.3,36.6,39.9,32.8,47,29,50.8
01-Dec-21,23.9,23.4,24.4,28,24.5,31.6,22.6,33.5,37.9,31.7,44.1,39.9,32.7,47.1,28.9,50.9
01-Jan-22,22.6,22.1,23,29.3,25.7,32.8,23.8,34.7,35.8,29.7,41.8,39.9,32.7,47.1,28.8,51
01-Feb-22,23.1,22.6,23.6,28.5,24.9,32,23,33.9,36.3,30.2,42.4,39.9,32.6,47.2,28.7,51.1
01-Mar-22,29.1,28.6,29.7,28.3,24.7,31.9,22.7,33.9,45.9,39,52.8,39.9,32.5,47.3,28.6,51.2
01-Apr-22,27.1,26.6,27.6,28.1,24.4,31.7,22.5,33.7,45.3,38.6,52.1,39.9,32.5,47.3,28.5,51.3
01-May-22,26.8,26.2,27.3,28.2,24.5,31.8,22.6,33.7,46.6,39.8,53.5,39.9,32.4,47.4,28.4,51.4
01-Jun-22,29.2,28.6,29.7,27.7,24.1,31.3,22.1,33.3,42.2,35.6,48.7,39.9,32.3,47.5,28.3,51.5
01-Jul-22,24.1,23.6,24.6,27.9,24.3,31.5,22.3,33.5,35.9,29.9,41.9,39.9,32.3,47.5,28.2,51.6
01-Aug-22,27.3,26.7,27.8,27.7,24.1,31.4,22.1,33.3,36.1,30.1,42.2,39.9,32.2,47.6,28.1,51.7
01-Sep-22,24.7,24.2,25.2,27.8,24.1,31.4,22.2,33.3,39.3,33,45.6,39.9,32.2,47.7,28,51.8
01-Oct-22,27,26.5,27.6,27.9,24.3,31.6,22.4,33.5,45.3,38.6,52.1,39.9,32.1,47.7,28,51.9
01-Nov-22,25.6,25.1,26.1,27.7,24.1,31.4,22.2,33.3,41.6,35.2,48.1,39.9,32,47.8,27.9,52
01-Dec-22,23.4,22.9,23.8,27.8,24.2,31.4,22.2,33.4,48.2,41.2,55.1,39.9,32,47.8,27.8,52
01-Jan-23,27.9,27.3,28.4,28.4,24.7,32,22.8,34,49.5,42.4,56.6,39.9,31.9,47.9,27.7,52.1
01-Feb-23,26.4,25.9,26.9,28,24.4,31.7,22.4,33.6,49.8,42.7,56.8,39.9,31.8,48,27.6,52.2
01-Mar-23,32.2,31.6,32.8,27.9,24.3,31.6,22.3,33.5,61.5,53.7,69.4,39.9,31.8,48,27.5,52.3
