ZONE_CODE,ZONE_NAME,FY,AGE_CAT,GENDER,INC_RT
Z1,SOUTH,All,All,All,33.5
Z2,CALGARY,All,All,All,37.9
Z3,CENTRAL,All,All,All,30.0
Z4,EDMONTON,All,All,All,36.7
Z5,NORTH,All,All,All,25.9
Z1,SOUTH,2016,All,All,22.5
Z1,SOUTH,2017,All,All,31.5
Z1,SOUTH,2018,All,All,35.9
Z1,SOUTH,2019,All,All,39.6
Z1,SOUTH,2020,All,All,37.7
Z2,CALGARY,2016,All,All,35.2
Z2,CALGARY,2017,All,All,35.8
Z2,CALGARY,2018,All,All,33.6
Z2,CALGARY,2019,All,All,39.1
Z2,CALGARY,2020,All,All,45.5
Z3,CENTRAL,2016,All,All,30.5
Z3,CENTRAL,2017,All,All,26.2
Z3,CENTRAL,2018,All,All,29.0
Z3,CENTRAL,2019,All,All,27.8
Z3,CENTRAL,2020,All,All,36.1
Z4,EDMONTON,2016,All,All,32.5
Z4,EDMONTON,2017,All,All,34.8
Z4,EDMONTON,2018,All,All,37.1
Z4,EDMONTON,2019,All,All,39.3
Z4,EDMONTON,2020,All,All,39.7
Z5,NORTH,2016,All,All,23.0
Z5,NORTH,2017,All,All,25.8
Z5,NORTH,2018,All,All,25.3
Z5,NORTH,2019,All,All,26.2
Z5,NORTH,2020,All,All,29.2
Z1,SOUTH,All,0 to 18,All,49.2
Z1,SOUTH,All,18 to 64,All,33.9
Z1,SOUTH,All,65 and over,All,8.7
Z2,CALGARY,All,0 to 18,All,49.0
Z2,CALGARY,All,18 to 64,All,37.8
Z2,CALGARY,All,65 and over,All,19.2
Z3,CENTRAL,All,0 to 18,All,38.8
Z3,CENTRAL,All,18 to 64,All,29.7
Z3,CENTRAL,All,65 and over,All,18.4
Z4,EDMONTON,All,0 to 18,All,50.5
Z4,EDMONTON,All,18 to 64,All,35.5
Z4,EDMONTON,All,65 and over,All,19.9
Z5,NORTH,All,0 to 18,All,35.3
Z5,NORTH,All,18 to 64,All,24.3
Z5,NORTH,All,65 and over,All,14.1
Z1,SOUTH,All,All,F,44.7
Z1,SOUTH,All,All,M,22.4
Z2,CALGARY,All,All,F,48.1
Z2,CALGARY,All,All,M,27.9
Z3,CENTRAL,All,All,F,37.8
Z3,CENTRAL,All,All,M,22.3
