ZONE_CODE,ZONE_NAME,FY,AGE_CAT,GENDER,INC_RT,lower95,upper95
Z1,SOUTH,All,All,All,33.5,30.6,36.4
Z2,CALGARY,All,All,All,37.9,36.6,39.3
Z3,CENTRAL,All,All,All,30.0,27.8,32.1
Z4,EDMONTON,All,All,All,36.7,35.3,38.2
Z5,NORTH,All,All,All,25.9,23.9,27.9
Z1,SOUTH,2016,All,All,22.5,17.2,27.9
Z1,SOUTH,2017,All,All,31.5,25.2,37.8
Z1,SOUTH,2018,All,All,35.9,29.2,42.6
Z1,SOUTH,2019,All,All,39.6,32.5,46.6
Z1,SOUTH,2020,All,All,37.7,30.9,44.5
Z2,CALGARY,2016,All,All,35.2,32.3,38.1
Z2,CALGARY,2017,All,All,35.8,32.9,38.7
Z2,CALGARY,2018,All,All,33.6,30.9,36.4
Z2,CALGARY,2019,All,All,39.1,36.1,42.0
Z2,CALGARY,2020,All,All,45.5,42.3,48.7
Z3,CENTRAL,2016,All,All,30.5,25.5,35.4
Z3,CENTRAL,2017,All,All,26.2,21.6,30.8
Z3,CENTRAL,2018,All,All,29.0,24.2,33.9
Z3,CENTRAL,2019,All,All,27.8,23.1,32.5
Z3,CENTRAL,2020,All,All,36.1,30.8,41.5
Z4,EDMONTON,2016,All,All,32.5,29.4,35.5
Z4,EDMONTON,2017,All,All,34.8,31.7,37.9
Z4,EDMONTON,2018,All,All,37.1,33.9,40.3
Z4,EDMONTON,2019,All,All,39.3,36.1,42.6
Z4,EDMONTON,2020,All,All,39.7,36.4,42.9
Z5,NORTH,2016,All,All,23.0,18.7,27.3
Z5,NORTH,2017,All,All,25.8,21.3,30.3
Z5,NORTH,2018,All,All,25.3,20.8,29.8
Z5,NORTH,2019,All,All,26.2,21.7,30.8
Z5,NORTH,2020,All,All,29.2,24.4,33.9
Z1,SOUTH,All,0 to 18,All,49.2,41.9,56.5
Z1,SOUTH,All,18 to 64,All,33.9,30.2,37.7
Z1,SOUTH,All,65 and over,All,8.7,5.0,12.4
Z2,CALGARY,All,0 to 18,All,49.0,45.7,52.2
Z2,CALGARY,All,18 to 64,All,37.8,36.1,39.4
Z2,CALGARY,All,65 and over,All,19.2,16.5,21.9
Z3,CENTRAL,All,0 to 18,All,38.8,33.4,44.1
Z3,CENTRAL,All,18 to 64,All,29.7,27.0,32.5
Z3,CENTRAL,All,65 and over,All,18.4,14.0,22.7
Z4,EDMONTON,All,0 to 18,All,50.5,46.9,54.1
Z4,EDMONTON,All,18 to 64,All,35.5,33.8,37.3
Z4,EDMONTON,All,65 and over,All,19.9,17.0,22.8
Z5,NORTH,All,0 to 18,All,35.3,30.5,40.2
Z5,NORTH,All,18 to 64,All,24.3,21.9,26.7
Z5,NORTH,All,65 and over,All,14.1,9.4,18.8
Z1,SOUTH,All,All,F,44.7,40.0,49.5
Z1,SOUTH,All,All,M,22.4,19.0,25.7
Z2,CALGARY,All,All,F,48.1,46.0,50.3
Z2,CALGARY,All,All,M,27.9,26.3,29.5
Z3,CENTRAL,All,All,F,37.8,34.3,41.3
Z3,CENTRAL,All,All,M,22.3,19.6,25.0
Z4,EDMONTON,All,All,F,47.7,45.4,50.0
Z4,EDMONTON,All,All,M,25.9,24.2,27.6
Z5,NORTH,All,All,F,35.4,32.0,38.9
Z5,NORTH,All,All,M,17.2,14.9,19.5
Z1,SOUTH,2016,0 to 18,All,32.8,19.4,46.3
Z1,SOUTH,2016,18 to 64,All,23.0,16.1,29.9
Z1,SOUTH,2016,65 and over,All,4.4,0.0,10.6
Z1,SOUTH,2017,0 to 18,All,39.7,25.0,54.4
Z1,SOUTH,2017,18 to 64,All,34.2,25.8,42.5
Z1,SOUTH,2017,65 and over,All,8.6,0.2,17.0
Z1,SOUTH,2018,0 to 18,All,63.6,45.0,82.1
Z1,SOUTH,2018,18 to 64,All,32.5,24.4,40.7
Z1,SOUTH,2018,65 and over,All,8.3,0.2,16.5
Z1,SOUTH,2019,0 to 18,All,55.0,37.7,72.3
Z1,SOUTH,2019,18 to 64,All,41.6,32.3,50.8
Z1,SOUTH,2019,65 and over,All,10.0,1.2,18.8
Z1,SOUTH,2020,0 to 18,All,54.8,37.6,72.0
Z1,SOUTH,2020,18 to 64,All,38.4,29.5,47.2
Z1,SOUTH,2020,65 and over,All,11.6,2.3,20.9
Z2,CALGARY,2016,0 to 18,All,42.3,35.4,49.1
Z2,CALGARY,2016,18 to 64,All,35.6,32.0,39.1
Z2,CALGARY,2016,65 and over,All,19.1,12.7,25.5
Z2,CALGARY,2017,0 to 18,All,41.2,34.5,47.9
Z2,CALGARY,2017,18 to 64,All,37.1,33.5,40.7
Z2,CALGARY,2017,65 and over,All,18.7,12.5,24.8
Z2,CALGARY,2018,0 to 18,All,42.3,35.5,49.0
Z2,CALGARY,2018,18 to 64,All,33.9,30.5,37.3
Z2,CALGARY,2018,65 and over,All,16.7,11.0,22.4
Z2,CALGARY,2019,0 to 18,All,51.4,44.0,58.8
Z2,CALGARY,2019,18 to 64,All,38.2,34.6,41.8
Z2,CALGARY,2019,65 and over,All,22.6,16.1,29.0
Z2,CALGARY,2020,0 to 18,All,66.8,58.4,75.2
Z2,CALGARY,2020,18 to 64,All,43.9,40.0,47.7
Z2,CALGARY,2020,65 and over,All,18.7,13.0,24.4
Z3,CENTRAL,2016,0 to 18,All,35.1,23.8,46.4
Z3,CENTRAL,2016,18 to 64,All,31.6,25.2,37.9
Z3,CENTRAL,2016,65 and over,All,18.8,8.6,29.0
Z3,CENTRAL,2017,0 to 18,All,35.2,23.8,46.5
Z3,CENTRAL,2017,18 to 64,All,23.3,17.9,28.8
Z3,CENTRAL,2017,65 and over,All,25.2,13.6,36.9
Z3,CENTRAL,2018,0 to 18,All,37.1,25.5,48.8
Z3,CENTRAL,2018,18 to 64,All,29.4,23.2,35.5
Z3,CENTRAL,2018,65 and over,All,16.3,7.1,25.5
Z3,CENTRAL,2019,0 to 18,All,38.0,26.2,49.8
Z3,CENTRAL,2019,18 to 64,All,29.0,22.9,35.1
Z3,CENTRAL,2019,65 and over,All,9.1,2.4,15.9
Z3,CENTRAL,2020,0 to 18,All,48.4,35.1,61.7
Z3,CENTRAL,2020,18 to 64,All,35.4,28.6,42.1
Z3,CENTRAL,2020,65 and over,All,22.6,12.2,33.1
Z4,EDMONTON,2016,0 to 18,All,41.2,33.8,48.7
Z4,EDMONTON,2016,18 to 64,All,31.3,27.6,34.9
Z4,EDMONTON,2016,65 and over,All,24.0,16.4,31.5
Z4,EDMONTON,2017,0 to 18,All,45.3,37.6,53.0
Z4,EDMONTON,2017,18 to 64,All,35.1,31.2,38.9
Z4,EDMONTON,2017,65 and over,All,15.3,9.4,21.2
Z4,EDMONTON,2018,0 to 18,All,55.5,47.0,64.0
Z4,EDMONTON,2018,18 to 64,All,35.1,31.2,38.9
Z4,EDMONTON,2018,65 and over,All,16.9,10.9,23.0
Z4,EDMONTON,2019,0 to 18,All,53.8,45.6,62.1
Z4,EDMONTON,2019,18 to 64,All,37.9,34.0,41.9
Z4,EDMONTON,2019,65 and over,All,22.7,15.8,29.5
Z4,EDMONTON,2020,0 to 18,All,55.9,47.5,64.2
Z4,EDMONTON,2020,18 to 64,All,38.3,34.3,42.2
Z4,EDMONTON,2020,65 and over,All,20.6,14.2,27.0
Z5,NORTH,2016,0 to 18,All,31.7,21.5,41.9
Z5,NORTH,2016,18 to 64,All,21.3,16.2,26.3
Z5,NORTH,2016,65 and over,All,13.1,2.6,23.5
Z5,NORTH,2017,0 to 18,All,34.3,23.7,44.9
Z5,NORTH,2017,18 to 64,All,24.7,19.2,30.1
Z5,NORTH,2017,65 and over,All,12.6,2.5,22.7
Z5,NORTH,2018,0 to 18,All,30.1,20.1,40.0
Z5,NORTH,2018,18 to 64,All,25.7,20.1,31.3
Z5,NORTH,2018,65 and over,All,12.1,2.4,21.9
Z5,NORTH,2019,0 to 18,All,30.9,20.8,41.0
Z5,NORTH,2019,18 to 64,All,25.9,20.3,31.6
Z5,NORTH,2019,65 and over,All,17.5,6.1,28.9
Z5,NORTH,2020,0 to 18,All,49.7,36.9,62.5
Z5,NORTH,2020,18 to 64,All,24.0,18.6,29.4
Z5,NORTH,2020,65 and over,All,14.9,4.6,25.1
Z1,SOUTH,2016,All,F,30.7,21.8,39.5
Z1,SOUTH,2016,All,M,14.5,8.4,20.5
Z1,SOUTH,2017,All,F,43.6,33.1,54.1
Z1,SOUTH,2017,All,M,19.6,12.6,26.6
Z1,SOUTH,2018,All,F,47.2,36.3,58.1
Z1,SOUTH,2018,All,M,24.7,16.8,32.5
Z1,SOUTH,2019,All,F,54.1,42.4,65.7
Z1,SOUTH,2019,All,M,25.2,17.3,33.1
Z1,SOUTH,2020,All,F,47.8,36.9,58.7
Z1,SOUTH,2020,All,M,27.6,19.4,35.9
Z2,CALGARY,2016,All,F,44.2,39.6,48.9
Z2,CALGARY,2016,All,M,26.3,22.8,29.9
Z2,CALGARY,2017,All,F,47.3,42.5,52.0
Z2,CALGARY,2017,All,M,24.6,21.2,28.0
Z2,CALGARY,2018,All,F,38.3,34.1,42.6
Z2,CALGARY,2018,All,M,29.0,25.4,32.7
Z2,CALGARY,2019,All,F,52.0,47.1,56.9
Z2,CALGARY,2019,All,M,26.3,22.9,29.8
Z2,CALGARY,2020,All,F,58.3,53.1,63.4
Z2,CALGARY,2020,All,M,33.0,29.1,36.8
Z3,CENTRAL,2016,All,F,38.3,30.4,46.2
Z3,CENTRAL,2016,All,M,22.8,16.8,28.9
Z3,CENTRAL,2017,All,F,32.3,25.0,39.5
Z3,CENTRAL,2017,All,M,20.4,14.7,26.0
Z3,CENTRAL,2018,All,F,37.1,29.4,44.9
Z3,CENTRAL,2018,All,M,21.1,15.3,26.9
Z3,CENTRAL,2019,All,F,39.4,31.5,47.4
Z3,CENTRAL,2019,All,M,16.5,11.4,21.6
Z3,CENTRAL,2020,All,F,41.7,33.5,49.8
Z3,CENTRAL,2020,All,M,30.7,23.7,37.6
Z4,EDMONTON,2016,All,F,42.8,37.9,47.8
Z4,EDMONTON,2016,All,M,22.4,18.8,25.9
Z4,EDMONTON,2017,All,F,43.9,38.9,48.8
