INDEX,ZONE_CODE,ZONE_NAME,FY,AGE_CAT,GENDER,INC_RT,MET
1,Z1,SOUTH,All,All,All,33.5,no
2,Z2,CALGARY,All,All,All,37.9,yes
3,Z3,CENTRAL,All,All,All,30,no
4,Z4,EDMONTON,All,All,All,36.7,yes
5,Z5,NORTH,All,All,All,25.9,no
6,Z1,SOUTH,2016,All,All,22.5,no
7,Z1,SOUTH,2017,All,All,31.5,no
8,Z1,SOUTH,2018,All,All,35.9,no
9,Z1,SOUTH,2019,All,All,39.6,no
10,Z1,SOUTH,2020,All,All,37.7,no
11,Z2,CALGARY,2016,All,All,35.2,yes
12,Z2,CALGARY,2017,All,All,35.8,yes
13,Z2,CALGARY,2018,All,All,33.6,yes
14,Z2,CALGARY,2019,All,All,39.1,yes
15,Z2,CALGARY,2020,All,All,45.5,yes
16,Z3,CENTRAL,2016,All,All,30.5,no
17,Z3,CENTRAL,2017,All,All,26.2,no
18,Z3,CENTRAL,2018,All,All,29,no
19,Z3,CENTRAL,2019,All,All,27.8,no
20,Z3,CENTRAL,2020,All,All,36.1,no
21,Z4,EDMONTON,2016,All,All,32.5,yes
22,Z4,EDMONTON,2017,All,All,34.8,yes
23,Z4,EDMONTON,2018,All,All,37.1,yes
24,Z4,EDMONTON,2019,All,All,39.3,yes
25,Z4,EDMONTON,2020,All,All,39.7,yes
26,Z5,NORTH,2016,All,All,23,no
27,Z5,NORTH,2017,All,All,25.8,no
28,Z5,NORTH,2018,All,All,25.3,no
29,Z5,NORTH,2019,All,All,26.2,no
30,Z5,NORTH,2020,All,All,29.2,no
31,Z1,SOUTH,All,0 to 18,All,49.2,no
32,Z1,SOUTH,All,18 to 64,All,33.9,no
33,Z1,SOUTH,All,65 and over,All,8.7,no
34,Z2,CALGARY,All,0 to 18,All,49,yes
35,Z2,CALGARY,All,18 to 64,All,37.8,yes
36,Z2,CALGARY,All,65 and over,All,19.2,yes
37,Z3,CENTRAL,All,0 to 18,All,38.8,no
38,Z3,CENTRAL,All,18 to 64,All,29.7,no
39,Z3,CENTRAL,All,65 and over,All,18.4,no
40,Z4,EDMONTON,All,0 to 18,All,50.5,yes
41,Z4,EDMONTON,All,18 to 64,All,35.5,yes
42,Z4,EDMONTON,All,65 and over,All,19.9,yes
43,Z5,NORTH,All,0 to 18,All,35.3,no
44,Z5,NORTH,All,18 to 64,All,24.3,no
45,Z5,NORTH,All,65 and over,All,14.1,no
46,Z1,SOUTH,All,All,F,44.7,no
47,Z1,SOUTH,All,All,M,22.4,no
48,Z2,CALGARY,All,All,F,48.1,yes
49,Z2,CALGARY,All,All,M,27.9,yes
50,Z3,CENTRAL,All,All,F,37.8,no
51,Z3,CENTRAL,All,All,M,22.3,no
52,Z4,EDMONTON,All,All,F,47.7,yes
53,Z4,EDMONTON,All,All,M,25.9,yes
54,Z5,NORTH,All,All,F,35.4,no
55,Z5,NORTH,All,All,M,17.2,no
56,Z1,SOUTH,2016,0 to 18,All,32.8,no
57,Z1,SOUTH,2016,18 to 64,All,23,no
58,Z1,SOUTH,2016,65 and over,All,0,no
59,Z1,SOUTH,2017,0 to 18,All,39.7,no
60,Z1,SOUTH,2017,18 to 64,All,34.2,no
61,Z1,SOUTH,2017,65 and over,All,0,no
62,Z1,SOUTH,2018,0 to 18,All,63.6,no
63,Z1,SOUTH,2018,18 to 64,All,32.5,no
64,Z1,SOUTH,2018,65 and over,All,0,no
65,Z1,SOUTH,2019,0 to 18,All,55,no
66,Z1,SOUTH,2019,18 to 64,All,41.6,no
67,Z1,SOUTH,2019,65 and over,All,0,no
68,Z1,SOUTH,2020,0 to 18,All,54.8,no
69,Z1,SOUTH,2020,18 to 64,All,38.4,no
70,Z1,SOUTH,2020,65 and over,All,0,no
71,Z2,CALGARY,2016,0 to 18,All,42.3,yes
72,Z2,CALGARY,2016,18 to 64,All,35.6,yes
73,Z2,CALGARY,2016,65 and over,All,19.1,yes
74,Z2,CALGARY,2017,0 to 18,All,41.2,yes
75,Z2,CALGARY,2017,18 to 64,All,37.1,yes
76,Z2,CALGARY,2017,65 and over,All,18.7,yes
77,Z2,CALGARY,2018,0 to 18,All,42.3,yes
78,Z2,CALGARY,2018,18 to 64,All,33.9,yes
79,Z2,CALGARY,2018,65 and over,All,16.7,yes
80,Z2,CALGARY,2019,0 to 18,All,51.4,yes
81,Z2,CALGARY,2019,18 to 64,All,38.2,yes
82,Z2,CALGARY,2019,65 and over,All,22.6,yes
83,Z2,CALGARY,2020,0 to 18,All,66.8,yes
84,Z2,CALGARY,2020,18 to 64,All,43.9,yes
85,Z2,CALGARY,2020,65 and over,All,18.7,yes
86,Z3,CENTRAL,2016,0 to 18,All,35.1,no
87,Z3,CENTRAL,2016,18 to 64,All,31.6,no
88,Z3,CENTRAL,2016,65 and over,All,18.8,no
89,Z3,CENTRAL,2017,0 to 18,All,35.2,no
90,Z3,CENTRAL,2017,18 to 64,All,23.3,no
91,Z3,CENTRAL,2017,65 and over,All,25.2,no
92,Z3,CENTRAL,2018,0 to 18,All,37.1,no
93,Z3,CENTRAL,2018,18 to 64,All,29.4,no
94,Z3,CENTRAL,2018,65 and over,All,16.3,no
95,Z3,CENTRAL,2019,0 to 18,All,38,no
96,Z3,CENTRAL,2019,18 to 64,All,29,no
97,Z3,CENTRAL,2019,65 and over,All,0,no
98,Z3,CENTRAL,2020,0 to 18,All,48.4,no
99,Z3,CENTRAL,2020,18 to 64,All,35.4,no
100,Z3,CENTRAL,2020,65 and over,All,22.6,no
101,Z4,EDMONTON,2016,0 to 18,All,41.2,yes
102,Z4,EDMONTON,2016,18 to 64,All,31.3,yes
103,Z4,EDMONTON,2016,65 and over,All,24,yes
104,Z4,EDMONTON,2017,0 to 18,All,45.3,yes
105,Z4,EDMONTON,2017,18 to 64,All,35.1,yes
106,Z4,EDMONTON,2017,65 and over,All,15.3,yes
107,Z4,EDMONTON,2018,0 to 18,All,55.5,yes
108,Z4,EDMONTON,2018,18 to 64,All,35.1,yes
109,Z4,EDMONTON,2018,65 and over,All,16.9,yes
110,Z4,EDMONTON,2019,0 to 18,All,53.8,yes
111,Z4,EDMONTON,2019,18 to 64,All,37.9,yes
112,Z4,EDMONTON,2019,65 and over,All,22.7,yes
113,Z4,EDMONTON,2020,0 to 18,All,55.9,yes
114,Z4,EDMONTON,2020,18 to 64,All,38.3,yes
115,Z4,EDMONTON,2020,65 and over,All,20.6,yes
116,Z5,NORTH,2016,0 to 18,All,31.7,no
117,Z5,NORTH,2016,18 to 64,All,21.3,no
118,Z5,NORTH,2016,65 and over,All,0,no
119,Z5,NORTH,2017,0 to 18,All,34.3,no
120,Z5,NORTH,2017,18 to 64,All,24.7,no
121,Z5,NORTH,2017,65 and over,All,0,no
122,Z5,NORTH,2018,0 to 18,All,30.1,no
123,Z5,NORTH,2018,18 to 64,All,25.7,no
124,Z5,NORTH,2018,65 and over,All,0,no
125,Z5,NORTH,2019,0 to 18,All,30.9,no
126,Z5,NORTH,2019,18 to 64,All,25.9,no
127,Z5,NORTH,2019,65 and over,All,0,no
128,Z5,NORTH,2020,0 to 18,All,49.7,no
129,Z5,NORTH,2020,18 to 64,All,24,no
130,Z5,NORTH,2020,65 and over,All,0,no
131,Z1,SOUTH,2016,All,F,30.7,no
132,Z1,SOUTH,2016,All,M,14.5,no
133,Z1,SOUTH,2017,All,F,43.6,no
134,Z1,SOUTH,2017,All,M,19.6,no
135,Z1,SOUTH,2018,All,F,47.2,no
136,Z1,SOUTH,2018,All,M,24.7,no
137,Z1,SOUTH,2019,All,F,54.1,no
138,Z1,SOUTH,2019,All,M,25.2,no
139,Z1,SOUTH,2020,All,F,47.8,no
140,Z1,SOUTH,2020,All,M,27.6,no
141,Z2,CALGARY,2016,All,F,44.2,yes
142,Z2,CALGARY,2016,All,M,26.3,yes
143,Z2,CALGARY,2017,All,F,47.3,yes
144,Z2,CALGARY,2017,All,M,24.6,yes
145,Z2,CALGARY,2018,All,F,38.3,yes
146,Z2,CALGARY,2018,All,M,29,yes
147,Z2,CALGARY,2019,All,F,52,yes
148,Z2,CALGARY,2019,All,M,26.3,yes
149,Z2,CALGARY,2020,All,F,58.3,yes
150,Z2,CALGARY,2020,All,M,33,yes
151,Z3,CENTRAL,2016,All,F,38.3,no
152,Z3,CENTRAL,2016,All,M,22.8,no
153,Z3,CENTRAL,2017,All,F,32.3,no
154,Z3,CENTRAL,2017,All,M,20.4,no
155,Z3,CENTRAL,2018,All,F,37.1,no
156,Z3,CENTRAL,2018,All,M,21.1,no
157,Z3,CENTRAL,2019,All,F,39.4,no
158,Z3,CENTRAL,2019,All,M,16.5,no
159,Z3,CENTRAL,2020,All,F,41.7,no
160,Z3,CENTRAL,2020,All,M,30.7,no
161,Z4,EDMONTON,2016,All,F,42.8,yes
162,Z4,EDMONTON,2016,All,M,22.4,yes
163,Z4,EDMONTON,2017,All,F,43.9,yes
164,Z4,EDMONTON,2017,All,M,25.9,yes
165,Z4,EDMONTON,2018,All,F,50.6,yes
166,Z4,EDMONTON,2018,All,M,23.8,yes
167,Z4,EDMONTON,2019,All,F,50.6,yes
168,Z4,EDMONTON,2019,All,M,28.2,yes
169,Z4,EDMONTON,2020,All,F,50.4,yes
170,Z4,EDMONTON,2020,All,M,29.1,yes
171,Z5,NORTH,2016,All,F,29,no
172,Z5,NORTH,2016,All,M,17.5,no
173,Z5,NORTH,2017,All,F,36.5,no
174,Z5,NORTH,2017,All,M,16,no
175,Z5,NORTH,2018,All,F,35.5,no
176,Z5,NORTH,2018,All,M,16,no
177,Z5,NORTH,2019,All,F,37.9,no
178,Z5,NORTH,2019,All,M,15.5,no
179,Z5,NORTH,2020,All,F,38.1,no
180,Z5,NORTH,2020,All,M,20.9,no
181,Z1,SOUTH,All,0 to 18,F,65.2,no
182,Z1,SOUTH,All,0 to 18,M,34.1,no
183,Z1,SOUTH,All,18 to 64,F,47.4,no
184,Z1,SOUTH,All,18 to 64,M,21,no
185,Z1,SOUTH,All,65 and over,F,8.4,no
186,Z1,SOUTH,All,65 and over,M,9.1,no
187,Z2,CALGARY,All,0 to 18,F,62.5,yes
188,Z2,CALGARY,All,0 to 18,M,36.2,yes
189,Z2,CALGARY,All,18 to 64,F,48.7,yes
190,Z2,CALGARY,All,18 to 64,M,27.2,yes
191,Z2,CALGARY,All,65 and over,F,22.3,yes
192,Z2,CALGARY,All,65 and over,M,15.5,yes
193,Z3,CENTRAL,All,0 to 18,F,52.7,no
194,Z3,CENTRAL,All,0 to 18,M,25.5,no
195,Z3,CENTRAL,All,18 to 64,F,37.6,no
196,Z3,CENTRAL,All,18 to 64,M,22.3,no
197,Z3,CENTRAL,All,65 and over,F,19.2,no
198,Z3,CENTRAL,All,65 and over,M,17.4,no
199,Z4,EDMONTON,All,0 to 18,F,64.3,yes
200,Z4,EDMONTON,All,0 to 18,M,37.4,yes
201,Z4,EDMONTON,All,18 to 64,F,48.1,yes
202,Z4,EDMONTON,All,18 to 64,M,23.6,yes
203,Z4,EDMONTON,All,65 and over,F,21.4,yes
204,Z4,EDMONTON,All,65 and over,M,18.1,yes
205,Z5,NORTH,All,0 to 18,F,46.5,no
206,Z5,NORTH,All,0 to 18,M,24.8,no
