STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,subregion,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,MEDICAL_PROCEDURE,Medical procedure,OCCUPATION,Occupation,DIAGNOSTIC_TYPE,Diagnostic category,PROVIDER,Provider,FUNCTION,Healthcare function,MODE_PROVISION,Mode of provision,CARE_TYPE,Care type,HEALTH_FACILITY,Medical technology,AGE,Age,SEX,Sex,DATA_SRCE,Data source,WAITING_TIME,Waiting time,DISEASE,Disease,CANCER_SITE,Cancer site,CONSULTATION_TYPE,Consultation type,TIME_PERIOD,Time period,PROC_TOT,PROC_PER1,Avg_rate,DENOM,,# of appen,,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.1),Healthcare utilisation,I,AUS,Oceania,Australia,PRC,Surgical procedures,PRC,Procedures,CM470_471,Appendectomy,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2000,,27045,142.1,,19032371.57,,2704500000,27045,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.1),Healthcare utilisation,I,AUS,Oceania,Australia,PRC,Surgical procedures,PRC,Procedures,CM470_471,Appendectomy,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2001,,26649,138.3,,19268980.48,,2664900000,26649,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.1),Healthcare utilisation,I,AUS,Oceania,Australia,PRC,Surgical procedures,PRC,Procedures,CM470_471,Appendectomy,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2002,,26875,137.9,,19488759.97,,2687500000,26875,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.1),Healthcare utilisation,I,AUS,Oceania,Australia,PRC,Surgical procedures,PRC,Procedures,CM470_471,Appendectomy,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2003,,26919,136.5,,19720879.12,,2691900000,26919,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.1),Healthcare utilisation,I,AUS,Oceania,Australia,PRC,Surgical procedures,PRC,Procedures,CM470_471,Appendectomy,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2004,,27905,140,,19932142.86,,2790500000,27905,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.1),Healthcare utilisation,I,AUS,Oceania,Australia,PRC,Surgical procedures,PRC,Procedures,CM470_471,Appendectomy,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2005,,27877,138.2,,20171490.59,,2787700000,27877,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.1),Healthcare utilisation,I,AUS,Oceania,Australia,PRC,Surgical procedures,PRC,Procedures,CM470_471,Appendectomy,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2006,,29364,143.6,,20448467.97,,2936400000,29364,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.1),Healthcare utilisation,I,AUS,Oceania,Australia,PRC,Surgical procedures,PRC,Procedures,CM470_471,Appendectomy,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007,,30218,145.1,,20825637.49,,3021800000,30218,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.1),Healthcare utilisation,I,AUS,Oceania,Australia,PRC,Surgical procedures,PRC,Procedures,CM470_471,Appendectomy,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2008,,31513,148.3,,21249494.27,,3151300000,31513,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_PROC@DF_KEY_INDIC(1.1),Healthcare utilisation,I,AUS,Oceania,Australia,PRC,Surgical procedures,PRC,Procedures,CM470_471,Appendectomy,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2009,,33464,154.3,,21687621.52,,3346400000,33464,,,,,,,,,,,
