index,national,country,format_name,name,geo_type,iso_a3,marker_lat,marker_long,name_popup,inc_popup,inc_popup_cd,inc_popup_uc,epi_stage_popup,WESP_18_class_popup,inc_IBD,inc_CD,inc_UC,inc_IBD_popup,inc_CD_popup,inc_UC_popup,epi_stage,pop_based,inc_most_recent,inc_AAPC,WESP_18_class,UN_geoscheme,decade,Notes,DeveloperNotes
1,No,Algeria,Algeria,Algeria,country,DZA,28.0000272,2.9999825,"<p style=""font-size: 150%""><b>Algeria</b></p>","<p style=""font-size: 125%""><b>Constantine:</b> In 2003, the incidence of Crohn’s disease was 3.45/100,000, which rose to 9.83/100,000 in 2007. Similarly, in 2003, the incidence of ulcerative colitis was 2.76/100,000, which rose to 5.12/100,000 in 2007 (<a href='link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%""><b>Constantine:</b> In 2003, the incidence of Crohn’s disease was 3.45/100,000, which rose to 9.83/100,000 in 2007. (<a href='link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%""><b>Constantine:</b> In 2003, the incidence of ulcerative colitis was 2.76/100,000, which rose to 5.12/100,000 in 2007 (<a href='link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developing</p>",27.55403308,5.201304375,12.8106007,"<p style=""font-size: 125%"">Overall incidence: 27.55<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 5.2<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 12.81<br></p>",E,notpop,,,developing,,,,
2,,Algeria,Constantine,Constantine,municipality,,36.364519,6.60826,"<p style=""font-size: 150%""><b>Constantine</b></p>","<p style=""font-size: 125%""><b>Constantine:</b> In 2003, the incidence of Crohn’s disease was 3.45/100,000, which rose to 9.83/100,000 in 2007. Similarly, in 2003, the incidence of ulcerative colitis was 2.76/100,000, which rose to 5.12/100,000 in 2007 (<a href='link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%""><b>Constantine:</b> In 2003, the incidence of Crohn’s disease was 3.45/100,000, which rose to 9.83/100,000 in 2007. (<a href='link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%""><b>Constantine:</b> In 2003, the incidence of ulcerative colitis was 2.76/100,000, which rose to 5.12/100,000 in 2007 (<a href='link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developing</p>",,,,,,,E,notpop,,,developing,,,,
3,No,Argentina,Argentina,Argentina,country,ARG,-34.9964963,-64.9672817,"<p style=""font-size: 150%""><b>Argentina</b></p>","<p style=""font-size: 125%""><b>General Pueyrredón Partido:</b> In 1993, the incidence of ulcerative colitis was 1.6/100,000. Over the 1987–1993 period, the incidence of ulcerative colitis ranged between 0.8–3.2/100,000. During this same period, only a single case of Crohn’s disease was reported for the region (<a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a>).<br><br>

References: <a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a></p>","<p style=""font-size: 125%""><b>General Pueyrredón Partido:</b> Between 1987 and 1993, only a single case of Crohn’s disease was reported for the region (<a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a>).</p>","<p style=""font-size: 125%""><b>General Pueyrredón Partido:</b> In 1993, the incidence of ulcerative colitis was 1.6/100,000. Over the 1987–1993 period, the incidence of ulcerative colitis ranged between 0.8–3.2/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a>).<br><br>

References: <a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a></p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developing</p>",14.19819966,7.061634086,18.84965634,"<p style=""font-size: 125%"">Overall incidence: 14.2<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 7.06<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 18.85<br></p>",AI,pop,,,developing,,,,
4,,Argentina,General Pueyrredón Partido,General Pueyrredón Partido,municipality,,-38.0267588,-57.6045083,"<p style=""font-size: 150%""><b>General Pueyrredón Partido</b></p>","<p style=""font-size: 125%""><b>General Pueyrredón Partido:</b> In 1993, the incidence of ulcerative colitis was 1.6/100,000. Over the 1987–1993 period, the incidence of ulcerative colitis ranged between 0.8–3.2/100,000. During this same period, only a single case of Crohn’s disease was reported for the region (<a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a>).<br><br>

References: <a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a></p>","<p style=""font-size: 125%""><b>General Pueyrredón Partido:</b> Between 1987 and 1993, only a single case of Crohn’s disease was reported for the region (<a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a>).</p>","<p style=""font-size: 125%""><b>General Pueyrredón Partido:</b> In 1993, the incidence of ulcerative colitis was 1.6/100,000. Over the 1987–1993 period, the incidence of ulcerative colitis ranged between 0.8–3.2/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a>).<br><br>

References: <a href='https://pubmed.ncbi.nlm.nih.gov/10348927/' target='_blank'>Linares de la Cal 1999</a></p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developing</p>",,,,,,,AI,pop,,,developing,,,,
5,No,Australia,Australia,Australia,country,AUS,-24.7761086,134.755,"<p style=""font-size: 150%""><b>Australia</b></p>","<p style=""font-size: 125%""><b>Barwon:</b> In 2007, the incidence of Crohn’s disease was 17.4/100,000, which fell to 14.7/100,000 in 2010. Similarly, in 2007, the incidence of ulcerative colitis was 11.2/100,000, which fell to 7.5/100,000 in 2010 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).<br><br>

<b>Geelong:</b> In 2007, the incidence of Crohn’s disease 29.3/100,000, which fell to 12.96/100,000 in 2011. Similarly, in 2007, the incidence of ulcerative colitis was 17.4/100,000, which fell to 9.32/100,000 in 2011, and was as low as 7.47/100,000 in 2010. (<a href='https://academic.oup.com/ibdjournal/article/16/9/1550/4628451?login=false' target='_blank'>Wilson 2010</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>, & <a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>)<br><br>

<b>Hunter Valley:</b> In 1977, the incidence of Crohn’s disease was estimated at 1.38/100,000 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>).<br><br>

<b>Melbourne:</b> In 2011, the incidence of Crohn’s disease was 16/100,000 and the incidence of ulcerative colitis was 11.4/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).<br><br>

References: <a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>,  <a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>,  <a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>, <a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>, <a href='https://academic.oup.com/ibdjournal/article/16/9/1550/4628451?login=false' target='_blank'>Wilson 2010</a></p>","<p style=""font-size: 125%""><b>Barwon:</b> In 2007, the incidence of Crohn’s disease was 17.4/100,000, which fell to 14.7/100,000 in 2010 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).<br><br>

<b>Geelong:</b> In 2007, the incidence of Crohn’s disease 29.3/100,000, which fell to 12.96/100,000 in 2011 (<a href='https://academic.oup.com/ibdjournal/article/16/9/1550/4628451?login=false' target='_blank'>Wilson 2010</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>, & <a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>).<br><br>

<b>Hunter Valley:</b> In 1977, the incidence of Crohn’s disease was estimated at 1.38/100,000 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>).<br><br>

<b>Melbourne:</b> In 2011, the incidence of Crohn’s disease was 16/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%""><b>Barwon:</b> In 2007, the incidence of ulcerative colitis was 11.2/100,000, which fell to 7.5/100,000 in 2010 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).<br><br>

<b>Geelong:</b> In 2007, the incidence of ulcerative colitis was 17.4/100,000, which fell to 9.32/100,000 in 2011, and was as low as 7.47/100,000 in 2010. (<a href='https://academic.oup.com/ibdjournal/article/16/9/1550/4628451?login=false' target='_blank'>Wilson 2010</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>, & <a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>)<br><br>

<b>Melbourne:</b> In 2011, the incidence of ulcerative colitis was 11.4/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).<br><br>

References: <a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>,  <a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>,  <a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>, <a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>, <a href='https://academic.oup.com/ibdjournal/article/16/9/1550/4628451?login=false' target='_blank'>Wilson 2010</a></p>","<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",16.24019042,16.42939458,15.27980804,"<p style=""font-size: 125%"">Overall incidence: 16.24<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 16.43<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 15.28<br></p>",CP,pop,,,developed,,,,example
6,,Australia,Barwon,#N/A,#N/A,,-30.9872222,148.9511111,"<p style=""font-size: 150%""><b>Barwon</b></p>","<p style=""font-size: 125%""><b>Barwon:</b> In 2007, the incidence of Crohn’s disease was 17.4/100,000, which fell to 14.7/100,000 in 2010. Similarly, in 2007, the incidence of ulcerative colitis was 11.2/100,000, which fell to 7.5/100,000 in 2010 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).<br><br>

References:  <a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a></p>","<p style=""font-size: 125%""><b>Barwon:</b> In 2007, the incidence of Crohn’s disease was 17.4/100,000, which fell to 14.7/100,000 in 2010 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).</p>","<p style=""font-size: 125%""><b>Barwon:</b> In 2007, the incidence of ulcerative colitis was 11.2/100,000, which fell to 7.5/100,000 in 2010 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,CP,pop,,,developed,,,,example
7,,Australia,Geelong,Geelong,municipality,,-38.1492813,144.3598269,"<p style=""font-size: 150%""><b>Geelong</b></p>","<p style=""font-size: 125%""><b>Geelong:</b> In 2007, the incidence of Crohn’s disease 29.3/100,000, which fell to 12.96/100,000 in 2011. Similarly, in 2007, the incidence of ulcerative colitis was 17.4/100,000, which fell to 9.32/100,000 in 2011, and was as low as 7.47/100,000 in 2010. (<a href='https://academic.oup.com/ibdjournal/article/16/9/1550/4628451?login=false' target='_blank'>Wilson 2010</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>, & <a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>)<br><br>

References: <a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>, <a href='https://academic.oup.com/ibdjournal/article/16/9/1550/4628451?login=false' target='_blank'>Wilson 2010</a></p>","<p style=""font-size: 125%""><b>Geelong:</b> In 2007, the incidence of Crohn’s disease 29.3/100,000, which fell to 12.96/100,000 in 2011 (<a href='https://academic.oup.com/ibdjournal/article/16/9/1550/4628451?login=false' target='_blank'>Wilson 2010</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>, & <a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>).</p>","<p style=""font-size: 125%""><b>Geelong:</b> In 2007, the incidence of ulcerative colitis was 17.4/100,000, which fell to 9.32/100,000 in 2011, and was as low as 7.47/100,000 in 2010. (<a href='https://academic.oup.com/ibdjournal/article/16/9/1550/4628451?login=false' target='_blank'>Wilson 2010</a>, <a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>, & <a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>)</p>","<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,CP,pop,,,developed,,,,example
8,,Australia,Hunter Valley,Hunter Valley,municipality,,-32.1932,151.7006,"<p style=""font-size: 150%""><b>Hunter Valley</b></p>","<p style=""font-size: 125%""><b>Hunter Valley:</b> In 1977, the incidence of Crohn’s disease was estimated at 1.38/100,000 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>).<br><br>

References: <a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a></p>","<p style=""font-size: 125%""><b>Hunter Valley:</b> In 1977, the incidence of Crohn’s disease was estimated at 1.38/100,000 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>).</p>",,"<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,CP,pop,,,developed,,,,example
9,,Australia,Melbourne,Melbourne,municipality,,-37.8142176,144.9631608,"<p style=""font-size: 150%""><b>Melbourne</b></p>","<p style=""font-size: 125%""><b>Melbourne:</b> In 2011, the incidence of Crohn’s disease was 16/100,000 and the incidence of ulcerative colitis was 11.4/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).<br><br>

References: <a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a></p>","<p style=""font-size: 125%""><b>Melbourne:</b> In 2011, the incidence of Crohn’s disease was 16/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%""><b>Melbourne:</b> In 2011, the incidence of ulcerative colitis was 11.4/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,CP,pop,,,developed,,,,example
10,No,Austria,Austria,Austria,country,AUT,47.59397,14.12456,"<p style=""font-size: 150%""><b></b></p>","<p style=""font-size: 125%""><b>Styria:</b> In 1997, the incidence of Crohn’s disease was 5.78/100,000, which rose to 6.57/100,000 in 2007 and was as high as 8.05/100,000 in 2005. In 1997, the incidence of ulcerative colitis was 3.58/100,000, which rose to 4.9/100,000 in 2007, and was as high as 6.08/100,000 in 2005 (<a href='https://academic.oup.com/ecco-jcc/article/7/1/58/400172?login=false' target='_blank'>Petritsch 2013</a>).<br><br>

References: <a href='https://academic.oup.com/ecco-jcc/article/7/1/58/400172?login=false' target='_blank'>Petritsch 2013</a></p>","<p style=""font-size: 125%""><b>Styria:</b> In 1997, the incidence of Crohn’s disease was 5.78/100,000, which rose to 6.57/100,000 in 2007 and was as high as 8.05/100,000 in 2005 (<a href='https://academic.oup.com/ecco-jcc/article/7/1/58/400172?login=false' target='_blank'>Petritsch 2013</a>).</p>","<p style=""font-size: 125%""><b>Styria:</b> In 1997, the incidence of ulcerative colitis was 3.58/100,000, which rose to 4.9/100,000 in 2007, and was as high as 6.08/100,000 in 2005 (<a href='https://academic.oup.com/ecco-jcc/article/7/1/58/400172?login=false' target='_blank'>Petritsch 2013</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","<p style=""font-size: 125%"">Country status: developed</p>",23.14276596,14.76429144,11.26690173,"<p style=""font-size: 125%"">Overall incidence: 23.14<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 14.76<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 11.27<br></p>",E,pop,,,developed,,,,
