index,national,country,name_format,name,geo_ type,iso_a3,marker_lat,marker_long,name_popup,prev_popup,prev_popup_cd,prev_popup_uc,epi_stage_popup,WESP_18_class_popup,prev_IBD,prev_CD,prev_UC,prev_IBD_popup,prev_CD_popup,prev_UC_popup,epi_stage,pop_based,prev_most_recent,prev_AAPC,WESP_18_class,UN_geoscheme,decade,Notes,DeveloperNotes
1,No,Algeria,,Algeria,country,DZA,,,"<p style=""font-size: 150%""><b>Algeria</b></p>","<p style=""font-size: 125%""><b>Constantine:</b>  In 2007, the prevalence of Crohn’s disease and ulcerative colitis was 19.02/100,000 and 10.57/100,000, respectively (<a href='https://link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%""><b>Constantine:</b> In 2007, the prevalence of Crohn’s disease was 19.02/100,000 (<a href='https://link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%""><b>Constantine:</b>  In 2007, the prevalence ulcerative colitis was  10.57/100,000 (<a href='https://link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developing</p>",43.80810599,14.73306908,27.50053843,"<p style=""font-size: 125%"">Overall prevalence: 43.81<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 14.73<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 27.5<br></p>",E,notpop,,,developing,,,,
2,,Algeria,,Constantine,municipality,,36.357,6.639,"<p style=""font-size: 150%""><b>Constantine</b></p>","<p style=""font-size: 125%""><b>Constantine:</b>  In 2007, the prevalence of Crohn’s disease and ulcerative colitis was 19.02/100,000 and 10.57/100,000, respectively (<a href='https://link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%""><b>Constantine:</b> In 2007, the prevalence of Crohn’s disease was 19.02/100,000 (<a href='https://link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%""><b>Constantine:</b>  In 2007, the prevalence of ulcerative colitis was 10.57/100,000 (<a href='https://link.springer.com/article/10.1007/s12157-011-0327-6' target='_blank'>Hammada 2011</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developing</p>",43.80810599,14.73306908,27.50053843,"<p style=""font-size: 125%"">Overall prevalence: 43.81<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 14.73<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 27.5<br></p>",E,notpop,,,developing,,,,
3,,Argentina,,Argentina,country,ARG,,,"<p style=""font-size: 150%""><b>Argentina</b></p>","<p style=""font-size: 125%""><b>National:</b> In 2009, the prevalence of Crohn’s disease and ulcerative colitis was 15/100,000 and 76.1/100,000, respectively (<a href='https://www.sciencedirect.com/science/article/pii/S0016508509616589?via%3Dihub' target='_blank'>Sobrero 2009</a>).</p>","<p style=""font-size: 125%""><b>National:</b> In 2009, the prevalence of Crohn’s was 15/100,000 (<a href='https://www.sciencedirect.com/science/article/pii/S0016508509616589?via%3Dihub' target='_blank'>Sobrero 2009</a>).</p>","<p style=""font-size: 125%""><b>National:</b> In 2009, the prevalence of ulcerative colitis was 76.1/100,000 (<a href='https://www.sciencedirect.com/science/article/pii/S0016508509616589?via%3Dihub' target='_blank'>Sobrero 2009</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developing</p>",4.565091024,29.24001978,14.57313043,"<p style=""font-size: 125%"">Overall prevalence: 4.57<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 29.24<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 14.57<br></p>",AI,pop,,,developing,,,,
4,No,Australia,,Australia,country,AUS,,,"<p style=""font-size: 150%""><b>Australia</b></p>","<p style=""font-size: 125%""><b>Barwon, Victoria:</b> In 2011, the prevalence of Crohn’s disease and ulcerative colitis was 197.3/100,00 and 136/100,000, respectively (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).<br><br>

<b>Hunter Valley:</b> In 1988, the prevalence of Crohn’s disease was 34/100,000 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>).</p>","<p style=""font-size: 125%""><b>Barwon, Victoria:</b> In 2011, the prevalence of Crohn’s disease was 197.3/100,00 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).<br><br>

<b>Hunter Valley:</b> In 1988, the prevalence of Crohn’s disease was 34/100,000 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>).</p>","<p style=""font-size: 125%""><b>Barwon, Victoria:</b> In 2011, the prevalence of ulcerative colitis was 136/100,000 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",16.26648518,6.831455238,10.53538374,"<p style=""font-size: 125%"">Overall prevalence: 16.27<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 6.83<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 10.54<br></p>",CP,pop,,,developed,,,,example
5,,Australia,,BARWON HEADS,municipality,,-38.2744,144.4884,"<p style=""font-size: 150%""><b>Barwon</b></p>","<p style=""font-size: 125%""><b>Barwon, Victoria:</b> In 2011, the prevalence of Crohn’s disease and ulcerative colitis was 197.3/100,00 and 136/100,000, respectively (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).</p>","<p style=""font-size: 125%""><b>Barwon, Victoria:</b> In 2011, the prevalence of Crohn’s disease was 197.3/100,00 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).</p>","<p style=""font-size: 125%""><b>Barwon, Victoria:</b> In 2011, the prevalence of ulcerative colitis was 136/100,000 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/jgh.13050' target='_blank'>Studd 2016</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",16.26648518,6.831455238,10.53538374,"<p style=""font-size: 125%"">Overall prevalence: 16.27<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 6.83<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 10.54<br></p>",CP,pop,,,developed,,,,example
6,,Australia,,Hunter Valley,municipality,,-32.1932,151.7006,"<p style=""font-size: 150%""><b>Hunter Valley</b></p>","<p style=""font-size: 125%""><b>Hunter Valley:</b> In 1988, the prevalence of Crohn’s disease was 34/100,000 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>).</p>","<p style=""font-size: 125%""><b>Hunter Valley:</b> In 1988, the prevalence of Crohn’s disease was 34/100,000 (<a href='https://onlinelibrary.wiley.com/doi/10.1111/j.1445-2197.1995.tb01696.x' target='_blank'>Anseline 1995</a>).</p>",,"<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",16.26648518,6.831455238,10.53538374,"<p style=""font-size: 125%"">Overall prevalence: 16.27<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 6.83<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 10.54<br></p>",CP,pop,,,developed,,,,example
7,,Barbados,,Barbados,country,BRB,,,"<p style=""font-size: 150%""><b>Barbados</b></p>","<p style=""font-size: 125%""><b>National:</b> In 2004, the prevalence of Crohn’s disease and ulcerative colitis was 16.7/100,00 and 44.3/100,000, respectively (<a href='https://academic.oup.com/ibdjournal/article/14/10/1419/4654877?login=true' target='_blank'>Edwards 2008</a>).</p>","<p style=""font-size: 125%""><b>National:</b> In 2004, the prevalence of Crohn’s disease was 16.7/100,00 (<a href='https://academic.oup.com/ibdjournal/article/14/10/1419/4654877?login=true' target='_blank'>Edwards 2008</a>).</p>","<p style=""font-size: 125%""><b>National:</b> In 2004, the prevalence of ulcerative colitis was 44.3/100,000 (<a href='https://academic.oup.com/ibdjournal/article/14/10/1419/4654877?login=true' target='_blank'>Edwards 2008</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developing</p>",23.53842354,19.24533618,7.02310728,"<p style=""font-size: 125%"">Overall prevalence: 23.54<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 19.25<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 7.02<br></p>",AI,pop,,,developing,,,,
8,,Bosnia and Herzegovina,,Bosnia and Herzegovina,country,BIH,,,"<p style=""font-size: 150%""><b>Bosnia and Herzegovina</b></p>","<p style=""font-size: 125%""><b>Tuzla:</b> In 2006, the prevalence of Crohn’s disease and ulcerative colitis was 28.2/100,000 and 43.1/100,000, respectively (<a href='https://link.springer.com/article/10.1007/s00384-008-0493-1' target='_blank'>Pavlovic-Calic 2008</a>).</p>","<p style=""font-size: 125%""><b>Tuzla:</b> In 2006, the prevalence of Crohn’s disease was 28.2/100,000 (<a href='https://link.springer.com/article/10.1007/s00384-008-0493-1' target='_blank'>Pavlovic-Calic 2008</a>).</p>","<p style=""font-size: 125%""><b>Tuzla:</b> In 2006, the prevalence of ulcerative colitis was 43.1/100,000 (<a href='https://link.springer.com/article/10.1007/s00384-008-0493-1' target='_blank'>Pavlovic-Calic 2008</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","<p style=""font-size: 125%"">Country status: in transition</p>",19.28561053,20.11270057,16.72802144,"<p style=""font-size: 125%"">Overall prevalence: 19.29<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 20.11<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 16.73<br></p>",AI,notpop,,,in transition,,,,
9,,Bosnia and Herzegovina,,TUZLA,municipality,,44.5375,18.6735,"<p style=""font-size: 150%""><b>Tuzla</b></p>","<p style=""font-size: 125%""><b>Tuzla:</b> In 2006, the prevalence of Crohn’s disease and ulcerative colitis was 28.2/100,000 and 43.1/100,000, respectively (<a href='https://link.springer.com/article/10.1007/s00384-008-0493-1' target='_blank'>Pavlovic-Calic 2008</a>).</p>","<p style=""font-size: 125%""><b>Tuzla:</b> In 2006, the prevalence of Crohn’s disease was 28.2/100,000 (<a href='https://link.springer.com/article/10.1007/s00384-008-0493-1' target='_blank'>Pavlovic-Calic 2008</a>).</p>","<p style=""font-size: 125%""><b>Tuzla:</b> In 2006, the prevalence of ulcerative colitis was 43.1/100,000 (<a href='https://link.springer.com/article/10.1007/s00384-008-0493-1' target='_blank'>Pavlovic-Calic 2008</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","<p style=""font-size: 125%"">Country status: in transition</p>",19.28561053,20.11270057,16.72802144,"<p style=""font-size: 125%"">Overall prevalence: 19.29<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 20.11<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 16.73<br></p>",AI,notpop,,,in transition,,,,
10,No,Brazil,,Brazil,country,BRA,,,"<p style=""font-size: 150%""><b>Brazil</b></p>","<p style=""font-size: 125%""><b>Espirito Santo:</b> In 2012, the prevalence of Crohn’s disease and ulcerative colitis was 14.1/100,000 and 24.1/100,000, respectively (<a href='https://bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-018-0822-y' target='_blank'>Lima-Martins 2018</a>).<br><br>

<b>Piauí:</b> In 2012, the prevalence of Crohn’s disease and ulcerative colitis was 5.08/100,000 and 7.72/100,000, respectively (<a href='https://www.wjgnet.com/1007-9327/full/v21/i4/1197.htm' target='_blank'>Parente 2015</a>).<br><br>

<b>São Paulo:</b> In 1995, the prevalence of Crohn’s disease and ulcerative colitis was 0.9/100,000 and 4.7/100,000, respectively. In 2005, the prevalence of Crohn’s disease and ulcerative colitis had risen to 5.65/100,000 and 16.95/100,000, respectively (<a href='https://www.scielo.br/j/ag/a/h6Pp3cLPLzzRQMPYWDWQnvy/?lang=en' target='_blank'>Victoria 2009</a>).</p>","<p style=""font-size: 125%""><b>Espirito Santo:</b> In 2012, the prevalence of Crohn’s disease was 14.1/100,000 (<a href='https://bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-018-0822-y' target='_blank'>Lima-Martins 2018</a>).<br><br>

<b>Piauí:</b> In 2012, the prevalence of Crohn’s disease was 5.08/100,000 (<a href='https://www.wjgnet.com/1007-9327/full/v21/i4/1197.htm' target='_blank'>Parente 2015</a>).<br><br>

<b>São Paulo:</b> In 1995, the prevalence of Crohn’s disease was 0.9/100,000 . In 2005, the prevalence had risen to 5.65/100,000 (<a href='https://www.scielo.br/j/ag/a/h6Pp3cLPLzzRQMPYWDWQnvy/?lang=en' target='_blank'>Victoria 2009</a>).</p>","<p style=""font-size: 125%""><b>Espirito Santo:</b> In 2012, the prevalence of ulcerative colitis was 24.1/100,000 (<a href='https://bmcgastroenterol.biomedcentral.com/articles/10.1186/s12876-018-0822-y' target='_blank'>Lima-Martins 2018</a>).<br><br>

<b>Piauí:</b> In 2012, the prevalence of ulcerative colitis was 7.72/100,000 (<a href='https://www.wjgnet.com/1007-9327/full/v21/i4/1197.htm' target='_blank'>Parente 2015</a>).<br><br>

<b>São Paulo:</b> In 1995, the prevalence of ulcerative colitis was 4.7/100,000. By 2005, the prevalence had risen to 16.95/100,000 (<a href='https://www.scielo.br/j/ag/a/h6Pp3cLPLzzRQMPYWDWQnvy/?lang=en' target='_blank'>Victoria 2009</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developing</p>",28.61746633,11.70248146,4.081064074,"<p style=""font-size: 125%"">Overall prevalence: 28.62<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 11.7<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 4.08<br></p>",E,pop,,,developing,,,,example
